date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
05-02-2020,RO,Romania,EURO,0,0,0,0
06-02-2020,RO,Romania,EURO,0,0,0,0
07-02-2020,RO,Romania,EURO,0,0,0,0
08-02-2020,RO,Romania,EURO,0,0,0,0
09-02-2020,RO,Romania,EURO,0,0,0,0
10-02-2020,RO,Romania,EURO,0,0,0,0
11-02-2020,RO,Romania,EURO,0,0,0,0
12-02-2020,RO,Romania,EURO,0,0,0,0
13-02-2020,RO,Romania,EURO,0,0,0,0
14-02-2020,RO,Romania,EURO,0,0,0,0
15-02-2020,RO,Romania,EURO,0,0,0,0
16-02-2020,RO,Romania,EURO,0,0,0,0
17-02-2020,RO,Romania,EURO,0,0,0,0
18-02-2020,RO,Romania,EURO,0,0,0,0
19-02-2020,RO,Romania,EURO,0,0,0,0
20-02-2020,RO,Romania,EURO,0,0,0,0
21-02-2020,RO,Romania,EURO,0,0,0,0
22-02-2020,RO,Romania,EURO,0,0,0,0
23-02-2020,RO,Romania,EURO,0,0,0,0
24-02-2020,RO,Romania,EURO,0,0,0,0
25-02-2020,RO,Romania,EURO,0,0,0,0
26-02-2020,RO,Romania,EURO,1,1,0,0
27-02-2020,RO,Romania,EURO,0,1,0,0
28-02-2020,RO,Romania,EURO,0,1,0,0
29-02-2020,RO,Romania,EURO,2,3,0,0
01-03-2020,RO,Romania,EURO,0,3,0,0
02-03-2020,RO,Romania,EURO,0,3,0,0
03-03-2020,RO,Romania,EURO,0,3,0,0
04-03-2020,RO,Romania,EURO,1,4,0,0
05-03-2020,RO,Romania,EURO,0,4,0,0
06-03-2020,RO,Romania,EURO,2,6,0,0
07-03-2020,RO,Romania,EURO,1,7,0,0
08-03-2020,RO,Romania,EURO,6,13,0,0
09-03-2020,RO,Romania,EURO,2,15,0,0
10-03-2020,RO,Romania,EURO,2,17,0,0
11-03-2020,RO,Romania,EURO,8,25,0,0
12-03-2020,RO,Romania,EURO,20,45,0,0
13-03-2020,RO,Romania,EURO,19,64,0,0
14-03-2020,RO,Romania,EURO,25,89,0,0
15-03-2020,RO,Romania,EURO,24,113,0,0
16-03-2020,RO,Romania,EURO,26,139,0,0
17-03-2020,RO,Romania,EURO,45,184,0,0
18-03-2020,RO,Romania,EURO,33,217,0,0
19-03-2020,RO,Romania,EURO,43,260,0,0
20-03-2020,RO,Romania,EURO,17,277,0,0
21-03-2020,RO,Romania,EURO,31,308,0,0
22-03-2020,RO,Romania,EURO,59,367,0,0
23-03-2020,RO,Romania,EURO,66,433,5,5
24-03-2020,RO,Romania,EURO,143,576,4,9
25-03-2020,RO,Romania,EURO,186,762,3,12
26-03-2020,RO,Romania,EURO,144,906,13,25
27-03-2020,RO,Romania,EURO,123,1029,21,46
28-03-2020,RO,Romania,EURO,263,1292,7,53
29-03-2020,RO,Romania,EURO,160,1452,16,69
30-03-2020,RO,Romania,EURO,308,1760,14,83
31-03-2020,RO,Romania,EURO,192,1952,19,102
01-04-2020,RO,Romania,EURO,293,2245,20,122
02-04-2020,RO,Romania,EURO,215,2460,16,138
03-04-2020,RO,Romania,EURO,278,2738,17,155
04-04-2020,RO,Romania,EURO,445,3183,18,173
05-04-2020,RO,Romania,EURO,430,3613,11,184
06-04-2020,RO,Romania,EURO,251,3864,22,206
07-04-2020,RO,Romania,EURO,193,4057,23,229
08-04-2020,RO,Romania,EURO,360,4417,22,251
09-04-2020,RO,Romania,EURO,344,4761,24,275
10-04-2020,RO,Romania,EURO,441,5202,22,297
11-04-2020,RO,Romania,EURO,265,5467,30,327
12-04-2020,RO,Romania,EURO,523,5990,14,341
13-04-2020,RO,Romania,EURO,310,6300,13,354
14-04-2020,RO,Romania,EURO,333,6633,19,373
15-04-2020,RO,Romania,EURO,246,6879,22,395
16-04-2020,RO,Romania,EURO,337,7216,23,418
17-04-2020,RO,Romania,EURO,491,7707,15,433
18-04-2020,RO,Romania,EURO,360,8067,22,455
19-04-2020,RO,Romania,EURO,351,8418,24,479
20-04-2020,RO,Romania,EURO,328,8746,21,500
21-04-2020,RO,Romania,EURO,190,8936,33,533
22-04-2020,RO,Romania,EURO,306,9242,19,552
23-04-2020,RO,Romania,EURO,468,9710,20,572
24-04-2020,RO,Romania,EURO,386,10096,26,598
25-04-2020,RO,Romania,EURO,321,10417,23,621
26-04-2020,RO,Romania,EURO,218,10635,31,652
27-04-2020,RO,Romania,EURO,401,11036,16,668
28-04-2020,RO,Romania,EURO,303,11339,24,692
29-04-2020,RO,Romania,EURO,277,11616,23,715
30-04-2020,RO,Romania,EURO,362,11978,22,737
01-05-2020,RO,Romania,EURO,262,12240,23,760
02-05-2020,RO,Romania,EURO,327,12567,27,787
03-05-2020,RO,Romania,EURO,165,12732,26,813
04-05-2020,RO,Romania,EURO,431,13163,28,841
05-05-2020,RO,Romania,EURO,349,13512,17,858
06-05-2020,RO,Romania,EURO,325,13837,24,882
07-05-2020,RO,Romania,EURO,270,14107,16,898
08-05-2020,RO,Romania,EURO,392,14499,22,920
09-05-2020,RO,Romania,EURO,312,14811,12,932
10-05-2020,RO,Romania,EURO,320,15131,31,963
11-05-2020,RO,Romania,EURO,231,15362,21,984
12-05-2020,RO,Romania,EURO,226,15588,23,1007
13-05-2020,RO,Romania,EURO,190,15778,24,1031
14-05-2020,RO,Romania,EURO,224,16002,22,1053
15-05-2020,RO,Romania,EURO,245,16247,18,1071
16-05-2020,RO,Romania,EURO,190,16437,21,1092
17-05-2020,RO,Romania,EURO,267,16704,21,1113
18-05-2020,RO,Romania,EURO,167,16871,15,1128
19-05-2020,RO,Romania,EURO,165,17036,12,1140
20-05-2020,RO,Romania,EURO,155,17191,11,1151
21-05-2020,RO,Romania,EURO,196,17387,9,1160
22-05-2020,RO,Romania,EURO,198,17585,10,1170
23-05-2020,RO,Romania,EURO,127,17712,11,1181
24-05-2020,RO,Romania,EURO,145,17857,16,1197
25-05-2020,RO,Romania,EURO,213,18070,13,1210
26-05-2020,RO,Romania,EURO,213,18283,13,1223
27-05-2020,RO,Romania,EURO,146,18429,11,1234
28-05-2020,RO,Romania,EURO,165,18594,9,1243
29-05-2020,RO,Romania,EURO,197,18791,9,1252
30-05-2020,RO,Romania,EURO,191,18982,10,1262
31-05-2020,RO,Romania,EURO,151,19133,14,1276
01-06-2020,RO,Romania,EURO,124,19257,11,1287
02-06-2020,RO,Romania,EURO,141,19398,8,1295
03-06-2020,RO,Romania,EURO,119,19517,7,1302
04-06-2020,RO,Romania,EURO,152,19669,7,1309
05-06-2020,RO,Romania,EURO,238,19907,13,1322
06-06-2020,RO,Romania,EURO,196,20103,3,1325
07-06-2020,RO,Romania,EURO,187,20290,11,1336
08-06-2020,RO,Romania,EURO,189,20479,12,1348
09-06-2020,RO,Romania,EURO,125,20604,8,1356
10-06-2020,RO,Romania,EURO,145,20749,17,1373
11-06-2020,RO,Romania,EURO,196,20945,6,1379
12-06-2020,RO,Romania,EURO,237,21182,10,1389
13-06-2020,RO,Romania,EURO,222,21404,15,1404
14-06-2020,RO,Romania,EURO,275,21679,13,1417
15-06-2020,RO,Romania,EURO,320,21999,19,1436
16-06-2020,RO,Romania,EURO,166,22165,15,1451
17-06-2020,RO,Romania,EURO,250,22415,15,1466
18-06-2020,RO,Romania,EURO,345,22760,15,1481
19-06-2020,RO,Romania,EURO,320,23080,17,1498
20-06-2020,RO,Romania,EURO,320,23400,18,1516
21-06-2020,RO,Romania,EURO,330,23730,11,1527
22-06-2020,RO,Romania,EURO,315,24045,15,1542
